# LO_Hz=2400000000
# BW_Hz=4000000
# FS_Hz=4000000
# N=256
# S_SYNC=200
# N_UP=4
# N_SYNC=2
# N_DOWN=4
# N_SLOTS=30
# MIN_RUN=3
# BIN_TOL=0
# PSR_MIN=10.0
# RX_GAIN_dB=40
# bin_Hz=15625.0
# sample_us=0.25
t_s,run_up0,run_up1,run_dn0,run_dn1,f_up,f_dn,c_bins,tie,cfo_int_hz,cfo_frac_hz,cfo_hz,eps_up,eps_dn,eps_frac,sto_bins,sto_us,sync_meas,sync_ok
0.776,1,4,7,10,183.000,74.000,0.500,1,15625.000,-52.518,15572.482,-0.152969,-0.146246,-0.003361,73.500,18.3750,200.000,1
0.790,4,7,9,12,246.000,9.000,-0.500,1,0.000,-35.294,-35.294,-0.150275,-0.145757,-0.002259,9.500,2.3750,200.000,1
0.797,0,3,15,18,38.000,218.000,0.000,0,0.000,73.025,73.025,-0.137801,-0.147148,0.004674,218.000,54.5000,239.515,0
0.800,5,8,12,15,180.000,76.000,0.000,0,0.000,184.122,184.122,-0.121930,-0.145497,0.011784,76.000,19.0000,200.667,1
0.807,3,6,8,11,8.000,247.000,-0.500,1,0.000,-21.704,-21.704,-0.153356,-0.150578,-0.001389,247.500,61.8750,200.000,1
0.818,0,3,6,9,144.000,112.000,0.000,0,0.000,567.641,567.641,-0.101276,-0.173934,0.036329,112.000,28.0000,199.500,1
0.825,0,3,6,9,52.000,204.000,0.000,0,0.000,-11.925,-11.925,-0.148615,-0.147089,-0.000763,204.000,51.0000,200.000,1
0.828,0,3,5,8,86.000,170.000,0.000,0,0.000,299.809,299.809,-0.107018,-0.145394,0.019188,170.000,42.5000,200.000,1
0.835,0,3,6,9,28.000,228.000,0.000,0,0.000,16.630,16.630,-0.147542,-0.149670,0.001064,228.000,57.0000,200.000,1
0.839,0,3,6,9,56.000,200.000,0.000,0,0.000,3.694,3.694,-0.150565,-0.151038,0.000236,200.000,50.0000,200.000,1
0.846,2,5,8,11,180.000,76.000,0.000,0,0.000,270.638,270.638,-0.124147,-0.158788,0.017321,76.000,19.0000,200.000,1
0.849,0,3,7,10,118.000,138.000,0.000,0,0.000,333.016,333.016,-0.108439,-0.151065,0.021313,138.000,34.5000,217.120,0
0.856,2,5,8,11,246.000,10.000,0.000,0,0.000,52.239,52.239,-0.147222,-0.153909,0.003343,10.000,2.5000,200.000,1
0.863,1,4,7,10,44.000,212.000,0.000,0,0.000,29.246,29.246,-0.145073,-0.148817,0.001872,212.000,53.0000,200.000,1
0.867,0,3,5,8,246.000,10.000,0.000,0,0.000,-17.346,-17.346,-0.149626,-0.147406,-0.001110,10.000,2.5000,200.000,1
0.873,0,3,6,9,76.000,180.000,0.000,0,0.000,36.196,36.196,-0.144003,-0.148636,0.002317,180.000,45.0000,200.000,1
0.880,0,3,6,9,10.000,246.000,0.000,0,0.000,8.115,8.115,-0.147056,-0.148095,0.000519,246.000,61.5000,200.000,1
0.894,0,3,6,9,82.000,174.000,0.000,0,0.000,-15.224,-15.224,-0.151634,-0.149685,-0.000974,174.000,43.5000,200.000,1
0.917,1,4,7,10,156.000,100.000,0.000,0,0.000,136.893,136.893,-0.132431,-0.149953,0.008761,100.000,25.0000,200.000,1
0.922,0,3,5,8,10.000,246.000,0.000,0,0.000,39.017,39.017,-0.147181,-0.152175,0.002497,246.000,61.5000,200.000,1
0.938,0,3,6,9,34.000,222.000,0.000,0,0.000,0.560,0.560,-0.150691,-0.150762,0.000036,222.000,55.5000,200.000,1
0.942,0,3,6,9,190.000,66.000,0.000,0,0.000,10.209,10.209,-0.143426,-0.144732,0.000653,66.000,16.5000,200.000,1
0.955,2,5,18,21,72.000,184.000,0.000,0,0.000,12.219,12.219,-0.148636,-0.150200,0.000782,184.000,46.0000,228.262,0
0.967,1,4,7,10,26.000,230.000,0.000,0,0.000,-25.953,-25.953,-0.152558,-0.149236,-0.001661,230.000,57.5000,200.000,1
0.975,2,5,8,11,172.000,84.000,0.000,0,0.000,-59.514,-59.514,-0.142760,-0.135142,-0.003809,84.000,21.0000,200.000,1
0.979,1,4,7,10,216.000,40.000,0.000,0,0.000,-33.031,-33.031,-0.144813,-0.140585,-0.002114,40.000,10.0000,200.000,1
0.982,0,3,6,9,86.000,170.000,0.000,0,0.000,-12.259,-12.259,-0.148450,-0.146881,-0.000785,170.000,42.5000,200.000,1
0.986,1,4,7,10,64.000,192.000,0.000,0,0.000,22.262,22.262,-0.146864,-0.149713,0.001425,192.000,48.0000,200.000,1
0.997,0,3,5,8,160.000,96.000,0.000,0,0.000,-212.347,-212.347,-0.153178,-0.125997,-0.013590,96.000,24.0000,200.000,1
1.001,2,5,8,11,52.000,204.000,0.000,0,0.000,18.031,18.031,-0.148767,-0.151075,0.001154,204.000,51.0000,200.000,1
1.011,2,5,8,11,102.000,154.000,0.000,0,0.000,4.878,4.878,-0.149839,-0.150464,0.000312,154.000,38.5000,200.000,1
1.019,1,4,7,10,24.000,232.000,0.000,0,0.000,-13.063,-13.063,-0.148757,-0.147085,-0.000836,232.000,58.0000,200.000,1
1.030,0,3,6,9,2.000,254.000,0.000,0,0.000,102.729,102.729,-0.149031,-0.162180,0.006575,254.000,63.5000,220.000,0
1.037,7,10,23,26,180.000,76.000,0.000,0,0.000,-270.482,-270.482,-0.155422,-0.120800,-0.017311,76.000,19.0000,224.644,0
1.041,1,4,7,10,252.000,4.000,0.000,0,0.000,38.585,38.585,-0.145279,-0.150218,0.002469,4.000,1.0000,200.000,1
1.044,0,3,6,9,142.000,114.000,0.000,0,0.000,-0.491,-0.491,-0.147392,-0.147329,-0.000031,114.000,28.5000,199.500,1
